EthnicQ1,EthnicQ2,EthnicQ3,EthnicQ4,EthnicQ5,DepQ1,DepQ2,DepQ3,DepQ4,DepQ5
599,800,1180,1858,4815,1284,1593,1837,1983,2555
529,621,865,1552,3770,1011,1263,1479,1521,2063
882,1098,1540,2592,6194,1779,2111,2411,2750,3255
598,802,1172,1855,4803,1277,1591,1826,1982,2554
1071,1542,2093,3241,7847,2376,2744,2847,3550,4277
883,1093,1539,2564,6162,1777,2100,2400,2728,3236
1620,2246,2766,4107,9814,3228,3548,4076,4467,5234
1075,1525,2071,3173,7715,2337,2713,2821,3482,4206
1564,2205,2939,4735,10717,3851,3906,4350,4802,5251
1609,2225,2729,4026,9625,3200,3503,4021,4373,5117
1127,1634,2329,3890,8523,3101,3260,3492,3635,4015
1505,2141,2862,4654,10556,3774,3831,4246,4719,5148
795,1075,1630,3021,6881,3065,3197,3399,3557,3947
1091,1579,2273,3837,8385,2237,2448,2572,2902,3240
699,1002,1539,2890,7303,2187,2400,2701,2883,3262
756,1037,1572,2947,6787,2189,2386,2505,2846,3173
568,856,1296,2387,6332,1641,1883,2359,2685,2871
680,986,1509,2810,7115,2133,2343,2593,2816,3215
427,702,1189,2277,6773,1613,1822,2413,2648,2872
550,834,1278,2340,6281,1620,1840,2324,2663,2836
317,479,891,1757,5861,1303,1402,2041,2219,2340
386,629,994,2110,6557,1531,1714,2233,2441,2757
331,462,778,1529,5327,1151,1386,1824,1975,2091
299,459,872,1679,5530,1260,1320,1882,2090,2287
179,312,569,1214,3542,882,1033,1103,1275,1523
215,423,681,1350,4304,1111,1173,1353,1614,1722
230,308,641,1218,3315,932,919,1067,1244,1550
178,317,569,1217,3509,873,1037,1083,1267,1530
187,300,674,1132,2666,1014,867,848,954,1276
225,306,342,1208,3305,930,931,1059,1241,1525
164,348,687,1147,2490,1090,821,857,915,1153
176,307,671,1130,2651,1018,870,828,954,1265
137,229,536,1049,2094,858,656,756,752,1023
174,344,688,1131,2483,1074,824,866,909,1147
108,199,393,748,1569,697,489,525,546,760
143,231,527,1042,2091,847,668,737,575,1025
64,150,310,518,1207,505,401,393,458,492
116,187,387,755,1574,690,499,520,554,756
35,76,148,316,736,255,215,222,266,353
72,143,305,525,1200,511,405,388,454,487
17,36,90,152,495,120,121,157,163,229
33,73,151,310,731,251,212,216,266,353
32,40,84,152,388,130,112,134,127,193
17,38,84,145,465,115,113,137,154,230
34,39,78,133,345,122,90,11,103,204
17,24,67,125,348,108,78,108,111,176
58,51,89,123,249,113,103,112,104,138
28,24,69,109,305,102,72,99,79,183
56,73,88,115,202,97,82,116,85,154
20,25,32,48,70,36,33,29,34,63
85,139,133,143,260,91,142,129,157,241
56,73,88,115,202,97,82,116,85,154
79,150,142,207,347,160,168,148,179,270
87,132,141,139,248,92,138,122,161,234
80,94,107,148,465,120,188,140,190,256
75,151,146,223,384,180,178,158,187,276
40,92,94,137,445,95,170,122,183,238
75,95,106,149,468,115,196,133,185,264
65,153,106,172,559,128,146,161,249,371
43,94,100,144,447,97,176,129,187,239
68,165,126,158,655,134,178,193,266,401
65,151,109,175,555,127,143,172,249,364
62,119,128,206,634,140,200,194,209,406
67,160,127,159,652,138,177,196,262,392
38,123,208,232,766,125,197,260,275,510
55,110,140,201,643,133,195,196,214,411
202,160,214,376,1158,258,281,468,469,634
53,120,197,234,765,127,193,257,287,505
64,111,166,404,1407,205,237,386,537,787
194,163,212,380,1144,249,285,482,451,626
